Area,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0915,,,,,0.1322,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327,,,,,,,,,,,,,0.3726,,,,,,,,,,,,1.835,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.525,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.12,,,24.93,,,,,,,26.03,
Poland,,,,,,,,,,,,34.99,,,,,46.83,,,,,52.37,,,,,56.8,,,,,,,46.31,,,,,44.27,,,,,40.57,,,,,41.61,,,,,39.7,,,,36.62,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,,,,,,,22.38,,,,,,,,,18.38,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.81,,,,,,,,,,19.12,,,,,22.29,,,,,22.71,,,,,,,
Qatar,,,,,,,,,,,,,,,,,258.6,,,,,,,,,,,,,,,,,,,277.1,,,,,,282.6,,,,,374.1,,,,,,,,,,,,
Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04,,,,,,,74.26,,,,,85.11,,,84.76,,,,,,,,,,,,
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15,,,,,,,,,,,,,,,15.82,,,,,,,,,,
Romania,,,,,,,,,,,,8.979,,,,,13.48,,,,,17.6,,,,,19.19,,,,,19.11,,,,,,,11.67,,,,,8.635,,,,,6.446000000000001,,,,,6.069,,,,5.968,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.905,,,,,,,4.211,,,,,,,,,,,,,,,4.421,
